Cars,Prices,prices,make
Suzuki Alto VXR,"PKR 1,976,000",1976000,Suzuki
Suzuki Alto VX,"PKR 1,699,000",1699000,Suzuki
Suzuki Alto VXR AGS,"PKR 2,120,000",2120000,Suzuki
Suzuki Alto VXL AGS,"PKR 2,223,000",2223000,Suzuki
Suzuki Cultus VXR,"PKR 2,754,000",2754000,Suzuki
Suzuki Cultus VXL,"PKR 3,024,000",3024000,Suzuki
Suzuki Cultus Auto Gear Shift,"PKR 3,234,000",3234000,Suzuki
Suzuki Ravi Euro ll,"PKR 1,424,000",1424000,Suzuki
Suzuki Bolan Cargo Van Euro ll,"PKR 1,487,000",1487000,Suzuki
Suzuki Bolan VX Euro II,"PKR 1,500,000",1500000,Suzuki
Suzuki Wagon R VXR,"PKR 2,421,000",2421000,Suzuki
Suzuki Wagon R VXL,"PKR 2,564,000",2564000,Suzuki
Suzuki Wagon R AGS,"PKR 2,802,000",2802000,Suzuki
Suzuki Swift GL Manual,"PKR 3,180,000",3180000,Suzuki
Suzuki Swift GL CVT,"PKR 3,420,000",3420000,Suzuki
Suzuki Swift GL CVT Limited Edition,"PKR 3,450,000",3450000,Suzuki
Suzuki Swift GLX CVT,"PKR 3,760,000",3760000,Suzuki
Suzuki Jimny GA MT,"PKR 6,049,000",6049000,Suzuki
Suzuki APV GLX,"PKR 6,290,000",6290000,Suzuki
Honda BR-V i-VTEC S,"PKR 4,939,000",4939000,Honda
Honda City 1.2L M/T,"PKR 3,769,000",3769000,Honda
Honda City 1.2L CVT,"PKR 3,899,000",3899000,Honda
Honda City 1.5L CVT,"PKR 4,139,000",4139000,Honda
Honda City 1.5L ASPIRE M/T,"PKR 4,299,000",4299000,Honda
Honda City 1.5L ASPIRE CVT,"PKR 4,479,000",4479000,Honda
Honda HR-V VTi,"PKR 5,999,000",5999000,Honda
Honda HR-V VTi-S,"PKR 6,199,000",6199000,Honda
Honda Civic Standard,"PKR 6,349,000",6349000,Honda
Honda Civic Oriel,"PKR 6,599,000",6599000,Honda
Honda Civic RS,"PKR 7,549,000",7549000,Honda
Honda CR-V 2.0 CVT,"PKR 10,700,000",10700000,Honda
Honda Accord 1.5L VTEC Turbo,"PKR 15,499,000",15499000,Honda
Toyota Hilux E,"PKR 9,069,000",9069000,Toyota
Toyota Hilux Revo G 2.8,"PKR 9,839,000",9839000,Toyota
Toyota Hilux Revo G Automatic 2.8,"PKR 10,309,000",10309000,Toyota
Toyota Hilux Revo V Automatic 2.8,"PKR 10,599,000",10599000,Toyota
Toyota Hilux Revo Rocco,"PKR 11,179,000",11179000,Toyota
Toyota Rush G A/T,"PKR 8,329,000",8329000,Toyota
Toyota Rush G M/T,"PKR 8,009,000",8009000,Toyota
Toyota Prado TX 3.0D,"PKR 27,930,000",27930000,Toyota
Toyota Prado VX 3.0,"PKR 39,270,000",39270000,Toyota
Toyota Prado VX 4.0,"PKR 41,410,000",41410000,Toyota
Toyota Yaris GLI MT 1.3,"PKR 3,539,000",3539000,Toyota
Toyota Yaris ATIV MT 1.3,"PKR 3,729,000",3729000,Toyota
Toyota Yaris GLI CVT 1.3,"PKR 3,769,000",3769000,Toyota
Toyota Yaris ATIV CVT 1.3,"PKR 3,929,000",3929000,Toyota
Toyota Yaris ATIV X MT 1.5,"PKR 4,009,000",4009000,Toyota
Toyota Yaris ATIV X CVT 1.5,"PKR 4,259,000",4259000,Toyota
Toyota Corolla Altis X Manual 1.6,"PKR 4,569,000",4569000,Toyota
Toyota Corolla Altis X Automatic 1.6,"PKR 4,979,000",4979000,Toyota
Toyota Corolla Altis X Automatic 1.6 Special Edition,"PKR 5,479,000",5479000,Toyota
Toyota Corolla Altis X CVT-i 1.8,"PKR 5,639,000",5639000,Toyota
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,"PKR 5,709,000",5709000,Toyota
