Quantity of electiricy,"Quantity of firewood, cock, coal",Quantity of natural gas,Quantity of capital,Quantity of labor,Quantity of petroleum products,Quantity of output,price of electiricy,"price of firewood, cock, coal",price of natural gas,price of capital,price of labor,price of petroleum products,price of output,Price of Energy,Quantity Inedex,Cost
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1.107172513,0.978694045,1.306458919,1.043293166,1.073373254,1.598936245,1.087569325,1.096838126,1.24458035,1.000096903,1.084011363,1.15085811,1.265426875,1.07364567,1.151735563,5.003209937,8.128616777
1.884625109,1.425047056,3.662662399,0.05330269,1.599708363,2.860278048,1.412734581,1.802083075,1.711665454,1.147262641,1.196197936,1.844234646,1.524316146,1.993520586,1.546331829,9.31071734,17.41145673
2.136950947,1.847671139,3.935388366,0.729936783,1.32710276,3.528036662,1.708387849,2.035486521,1.5077509,1.353532901,2.297801365,2.604407351,1.896796819,2.283109193,1.698391786,11.27785072,24.28777494
2.348245141,2.579237878,2.410928155,0.720218908,1.34753371,8.061045829,1.939284166,2.22627598,1.776777895,1.79588488,3.017983681,2.913645346,1.847736344,2.408312516,1.911668775,15.18830655,35.1348556
2.395866642,2.13278781,2.965286676,0.887607943,1.4254253,4.700387866,2.161105932,2.270918756,2.013426093,1.76312307,3.177934035,3.307920007,2.007039741,2.545764919,2.013626915,12.11597815,31.93301207
2.952789783,3.021321709,2.958923083,1.017808412,1.488314412,3.653939549,2.605769827,2.388140746,2.134825303,1.935903614,3.595840453,3.723082402,2.809371999,2.822087784,2.317060416,12.72955024,38.69613083
3.170562575,2.395363804,3.124389734,1.305510876,1.565235517,4.168768901,2.757982743,2.886914556,2.780064827,2.286931215,4.119142489,3.821400881,3.217061286,3.084446857,2.792742971,13.02263035,47.72783707
3.385813936,1.732728965,5.398568943,2.173809056,1.766729771,6.514468101,3.38392705,3.76038522,2.486026485,2.018790854,4.090528711,4.206368534,3.971351642,3.22321653,3.05913855,17.58972308,70.13294484
4.263947024,1.681317883,5.583973738,2.665791359,1.82379264,6.869915859,3.744133995,3.997898128,3.258538524,2.205293928,4.092253443,5.074317177,4.562460993,3.404782465,3.506047893,18.87695019,86.34708761
